No.,Headline,Body
11,27 hurt in Taguig police station fire,"Twenty-seven inmates were injured when a fire hit the custodial facility of the Taguig City police station yesterday.
The Bureau of Fire Protection (BFP) said the fire at the police station, located at the city hall compound in Barangay Tuktukan, started at around 12:12 p.m. and reached first alarm.
Firefighters put out the blaze at around 12:35 p.m.
Taguig police chief Col. Robert Baesa said 27 detainees were brought to a hospital for treatment of their injuries.
He said only four remain at the hospital while the rest only suffered minor wounds.
“Most of them were brought back to our custodial facility,” Baesa said in a phone interview.
The fire originated at the detention facility, according to arson probers.
Baesa said they are waiting for an update from the BFP on the cause of the fire.
2 injured in Baseco blaze
In Manila, two persons were injured when a fire, cause still unknown, destroyed around 50 houses in Baseco Compound yesterday.
Philippine Red Cross personnel treated FO1 Adrian Gabriel Jose for burns and wounds and Elvis Tanio, 17, for injuries he suffered when he fell from a roof.
According to the city’s fire department, the blaze broke out at around 8:36 a.m. and reached second alarm before it was put out at around 10:57 a.m.
PRC chairman Sen. Richard Gordon said he instructed the PRC’s Manila chapter to send its Hot Meals on Wheels truck to help the families displaced by the fire.
The PRC also deployed a 15-member emergency response unit composed of firefighters and an ambulance crew.
80 Mandaluyong families homeless
Meanwhile, a fire razed a residential area in Barangay Addition Hills, Mandaluyong and left around 80 families homeless.
FO2 Sherwin Jay Villasanta told The STAR the fire started at around 1:25 p.m. on Block 10 and reached second alarm before it was put out at around 3:45 p.m.
A volunteer sustained an eye injury and was given first aid by personnel of the city’s Disaster Risk Reduction and Management Office.
“The damage of the fire, its origin is still being investigated. The houses in the area are made of light and concrete materials,” Villasanta said. –  Jose Rodel Clapan"
12,BFP: Fires up by 13%,"Fire incidents in the first two months of the year increased by nearly 13 percent compared to the same period last year, the Bureau of Fire Protection (BFP) said yesterday.
There were 2,103 fires from January to March 1, which is higher by 12.88 percent compared to 1,863 incidents during the same period last year, BFP spokesperson Superintendent Annalee Carbajal-Atienza said.
Among the leading causes of fires are faulty electrical wiring, she said.
In an interview over dzBB, Atienza warned that with warmer days ahead, people could overuse electrical appliances.
At least three fires were recorded yesterday, the first day of Fire Prevention Month – two in Metro Manila and one in Western Visayas.
The BFP has yet to release a report if there were casualties in the three incidents.
Firefighters in Metro Manila held caravans yesterday morning as part of their month-long fire safety awareness campaign, which aims to reduce fire incidents in the country."
13,Carlos Yulo eyes individual all-around gold in Paris 2024,"Filipino gymnastics darling Carlos Yulo is aiming for the gold medal in the men's individual all-around in the Paris 2024 Olympics.
Yulo, who has been world champion in both floor exercise and vault, will look to have a balanced performance come the quadrennial games two years from now.
Despite floor exercise remaining as his pet event in artistic gymnastics, Yulo says that it's been the plan all along to be the best in all events.
""Plano naman po talaga yun since 2016 po eh. Na hindi lang po dalawang events yung kaya ko,"" Yulo said on an episode of PlayitrightTV of the goal of winning the gold in men's individual all-around in Paris.
""Nagpapractice naman po talaga ako ng six events pero naga-add ako this time para nga po sa goal ko na makuha po yung individual all around po sa 2024,"" he added.
In the 2019 Southeast Asian Games, Yulo actually finished in the podium in all events.
He won gold in floor exercise, and silvers in pommel horse, still rings, vault, parallel bars and horizontal bar.
His great performances in each event ended up with him taking the gold in men's all-around as well.
Yulo's coach Munehiro Kugimiya believes that a gold in all-around at Paris is possible, just as long as he works toward his goal.
""Just like [Caloy] said, just training every day,"" said Kugimiya.
But first on Yulo's calendar will be the 31st Southeast Asian Games set to unfurl in May at Hanoi.
The world champion recently arrived in the Philippines to spend time with his family after more than two years of training."
14,'We'll be missing a lot': NLEX forced to adjust after McDaniels exit,"The NLEX Road Warriors are on a bittersweet pivot point at the PBA Governor's Cup after playing their final elimination game on Friday.
Despite the joy of being able to assure themselves of a twice-to-beat advantage in the quarterfinals owing to their 8-3 record, the Road Warriors will be absorbing the brunt of losing import KJ McDaniels.
RELATED STORIES
NLEX turn back Ginebra to clinch twice-to-beat edge in McDaniels' swan song
McDaniels, who has been key to the Road Warriors' great performance in the conference, played his final game for NLEX last night as he's set to return to the US in time for his girlfriend giving birth to their child.
Now, with a week of rest before they begin their playoffs bid, NLEX need to adjust to losing one of their most dominant players on the court.
""I don't know how to say it, but if there's anything that can convince KJ to stay, we would do it. But his family is really first priority... We'll be missing a lot,"" admitted NLEX head coach Yeng Guiao after their 115-103 win over Barangay Ginebra.
""We don't know how we will play without him because we've gotten so used to him,"" he added.
McDaniels played all 11 elimination games for NLEX and he tops the league in scoring with norms of 30.36 points per contest.
He also averaged 11.45 rebounds, 3.27 assists, 1.55 steals and 2.82 blocks.
Those numbers will be difficult to fill once he leaves.
And it's not just McDaniels' contribution on the floor that will be affected, but also his teammates who will be left without a friend that they've integrated with on the court.
""[It's] not just the way he plays the game but he's gotten close to a lot of the players. He's really been settling down and then now he needs to go. So, sayang,"" said Guiao.
""Ang laking panghihinayang namin pero we have to move on after KJ and hope that we're still able to play well. Ganun talaga ang buhay. Sayang but we just have to roll with the punches. We just have to make the adjustment,"" he added.
Cameron Clark is expected to attempt to fill the void McDaniels left for NLEX once the quarterfinals roll around.  "
15,Hushes of uncertainty for Philippine hoops?,"From the upper box in this historic arena, a grandfather, ”Pilo,” blurted out his disgust in the third period, with his blue medical facemask off. After a turnover by wily guard Thirdy Ravena in the third quarter, Pilo shouted: “Be a security guard instead! (Mag security guard ka na lang!).”
Other fans — all masked — on sections 405 and 406 were still hoping for a Filipino turnaround: for booming triples, for successive defensive stops.
RELATED STORIES
Gilas eyes PBA player-laden 30-man pool
PBA, SBP eye synchronized schedules for Gilas
Yet what turned around a Sunday night, FIBA-sanctioned pandemic ballgame were simple, unfancied plays from the visiting New Zealand Tall Blacks. The Kiwis’ 1-5 ball screens worked wonders. Rotations from the top of the three-point line led either to open threes or drives to the basket.
And on the Philippine end, there were familiar scenes: the guard dribbling then driving to either score or dish off either outside or inside, repetitively. The one-on-one Filipino plays also ensued, most of which got stymied by a ferocious Kiwi defense.
With 4:01 left in the game, and a 21-point spread against the home team screaming loud, the over-5,000 Filipino crowd at Araneta hushed in despair.
They and their national basketball team got benched by a running coronavirus pandemic. Nearly two years after, with local vaccination rates high, viral transmission dissipating, and hoops fanaticism howling its return to this arena, Filipinos wanted to watch a fighting national team to keep their hopes up.
Filipinos missed this hoops atmosphere. That night, Filipino fans wished for a big upset win.
“We (Gilas team) didn’t back down. I couldn’t ask for anything more form our players,” said national coach Chot Reyes in the post-game presser. Yet out of a 51-67 deficit, the 21-9 blast that the Tall Blacks dropped in the final 8:23 just dampened Filipinos’ spirits.
Most of ‘who can play’ for flag
The Philippines, host of the 2023 FIBA World Cup, returned to an international stage wherein countries playing in these postponed World Cup Qualifiers make the most of who can play for them.
The NBA and the various national leagues went on, and the national stars can’t take time out now and play for flag. National teams played with mostly their second or third-tier players, with a few stars steering them. Some had “stars” like former Olympians and World Cup veterans, but they’re in their early 40s (like Carlos Delfino of Argentina, or former NBA All-Star Joe Johnson of the United States).
Upsets happened in these windows. Tiny Iceland surprised 2020 Olympic qualifiers Italy. Scrappy Kazakhstan surprised two-time Asian champion Iran. War-ravaged South Sudan upset reigning African champions Tunisia.  
The  Philippines had other reasons to play in these FIBA World Cup windows, as well as last year’s FIBA tournaments like the Asian Cup qualifiers in Pampanga, and a leg of the Olympic Qualifying Tournament in Belgrade, Serbia. Those reasons can be summed up in four numbers: 2-0-2-3.
Playing for 2023
As early as 2018, the Samahang Basketbol ng Pilipinas formed a “23-for-2023” pool from mostly the collegiate ranks. SBP then worked with the PBA to arrange for dispersal drafts — that college players be drafted first by Gilas then play later on for their PBA teams.
When the Philippines qualified for the 2019 FIBA World Cup in China, lack of preparation time for coach Yeng Guiao’s squad proved fatal: the Philippines ended up dead last in the 32-team tournament. On the side, SBP tried to spruce up the 23-player pool, subjecting them to a dedicated training program similar to the early-1980s experiment with Northern Consolidated Cement (NCC).
Then the coronavirus pandemic came. Tournaments worldwide screeched to a halt. The world waited for a year for vaccines to be developed and inoculated to most of the world’s seven billion people.
A pandemic’s wrath
The pandemic derailed countries’ basketball programs.
Tab Baldwin got the task of handling the 23-for-2023 program. But Filipino basketball players, including members of that 23-player pool, were aching to play ball. The chance came in June last year: the FIBA Asia Cup qualifiers in Clark, Pampanga that included twin wins over Korea.
Building up from that bubble tournament, the Philippines got a surprise call to play in the FIBA Olympic Qualifying Tournament in Belgrade a month after (New Zealand backed out).
Baldwin and his scrappy youngers almost pulled the rug off on the favored Serbian team. NBA veterans Milos Teodosic and 7’5” Boban Marjanovic towed the Serbians to that ugly 83-76 win, with coach Igor Kokoškov admitting: “We had an off night, but we had to find a way to win the game.”
The FIBA Asia Cup was supposed to be staged in Indonesia last August, but the Delta surge ravaged the country and the tournament was moved to this August.
Leagues in the Asia-Pacific then pirated some from the 23-member pool since mid-last year, including Dwight Ramos, Kobe Paras, Juan and Javi Gomez de Liano, 7’2” Kai Sotto, and Jordan Heading.
Gilas Pilipinas got stuck, and SBP’s Chair Emeritus Manny Pangilinan got concerned. Then Baldwin resigned as head coach, especially given concerns for his ailing brother. Details of his exit were sudden and remain unclear, as SBP tagged Reyes to continue Baldwin’s program.
Missing a ‘playing style’?
When the third quarter saw the Filipino dribble-drive offense getting obstructed, the Tall Blacks’ half-court set plays that ballooned their lead typified how Filipinos still play catch-up in international play.
Off a Philippine timeout in quarter 3, two gentlemen sitting at row 2 of section 405 and a stout guy at row 1 howled: “We want Baldwin!” The three voices slowly grew to a few, with some claps accompanying that chant. Those few shouts from the other side of Araneta got heard during the Philippine timeout.
Look at the plays of New Zealand, says the stout, outspoken “Ramil” during the first quarter. “They’re playing like Ateneo de Manila University.”
The Blue Eagles is Baldwin’s collegiate hoops nest, and his team’s adoption of the international style of play led to two straight UAAP titles. Baldwin’s style of play almost made the Philippines beat Serbia last August, even if “Teodosic’s ball screen plays were tough to handle.”
A ‘long way to go’
As early as the Philippines’ win over lowly India last Feb. 25, Reyes said the Philippine team still “has a long way to go” to develop a competitive 2023 team. “This is a long-term program,” Reyes said, referring to forming a proud Philippine team for 2023.
The 23-for-2023 pool got somewhat dismantled as some of the members have already signed up for PBA teams. The young turks returned to their UAAP teams. The Filipinos in Japan’s B-League, Taiwan’s T1 League and Australia’s National Basketball League (NBL) got themselves settled.
Reyes had to borrow his PBA team Talk N’ Text for this Philippine window. If there’s any consolation, New Zealand last played as a team nearly two years ago. Many of the national teams worldwide prepared with limited time for this window.
Against Gilas Sunday night, the Tall Blacks and its mostly younger players (including two Filipino-Kiwis) did what’s typical of the FIBA game.
The 2023 FIBA World Cup is set to feature the new generation of Filipino players, with Reyes tagging B-League stalwarts Ravena and Ramos as the new leaders. Yet days before these qualifying window matches, news buzzed: who should make the 2023 national team?
For now, with the Asian Games and the FIBA Asia Cup looming, Reyes told journalists SBP will meet with the PBA “to synchronize calendars”.
When asked who should make those teams, Reyes said “I cannot answer that question because we (SBP and the PBA) have to sit down and craft the plan.”
After Sunday night’s loss, hushes of despair from Filipino fans enveloped the Araneta Coliseum. Fans knew Gilas was simply outplayed by the Tall Blacks, plain and simple.
“We still have a lot (of things) to work on,” Reyes said."
16,"Sotto, 36ers handed third straight NBL loss","Kai Sotto and the Adelaide 36ers could not get back into the win column after losing steam in the endgame against South East Melbourne (SEM) Phoenix, 76-83, at the Adelaide Entertainment Centre on Friday.
Adelaide rode a Daniel Johnson-led comeback in the fourth quarter after trailing by as much as 13 points and even took the lead, 74-73, with 2:24 ticks left in the game.
But a 10-2 run by the Phoenix to end the game kept Adelaide slumping.
Sotto had quality minutes off the bench in the loss as he finished with four points, nine rebounds, two assists, one steal and three blocks.
Johnson paced Adelaide as the only player in twin-digit scoring with 31 points.
Mitchell Creek, for his part, led the Phoenix to victory with 29 points, seven rebounds and five assists.
Adelaide fell to 5-10 in the standings while the Phoenix are 11-5 to maintain their place at No. 2."
17,Del Rosario vows comeback after early miscue in Epson Tour,"Pauline del Rosario closed out her first Epson Tour foray as a full-time campaigner the way she started it — with a miscue — as she hobbled with a 74 in windy conditions to trail Korean Min-G Kim by seven in the Florida’s Natural Charity Classic in Winter Haven, Florida Friday.
She was actually on her way to checking a rollercoaster backside start with a run of pars at the front but flubbed a couple of chances and overshot the par-5 No. 9 of the Country Club of Winter Haven that puts premium on precise approach play for its elevated, turtle-shell shape greens.
Del Rosario ended up with a bogey and a pair of 37s that dropped her to a share of 47th, just within the Top 60-plus ties cut bracket.
“My ball-striking wasn’t at its best. It’s windy so it was easy to get into difficult positions,” rued the late-starting del Rosario, who overshot the 9th green with her 3-wood second shot. “I had a tough time pitching from below since most of the greens here are elevated.”
Fil-Am Clariss Guce, meanwhile, struggled coming off a long layoff, fumbling with a frontside 37 then dropping three straight strokes from No. 12 before holing out with birdie for a 75.
The two-time Symetra Tour, now the Epson Tour, winner lay at joint 66th in a 132-player starting field and would need to shoot in the 60s to make it to the final round of the $200,000, 54-hole championship kicking off the Road to the LPGA.
The top 10 after the 20-leg circuit will earn cards for next year’s edition of the world’s premier ladies tour.
Unlike Guce, the ICTSI-backed del Rosario stepped into the fray exuding confidence coming off a victory in the East Coast Women’s Pro Tour two weeks ago. But she bogeyed No. 10, regained the stroke on No. 13, only to yield it again on the next.
She dropped another stroke on the 17th but birdied the par-5 18th.
“I know the courses on the Epson Tour are more demanding in terms of conditions, length, firmness of the greens unlike on other tours,” rued del Rosario, who played on the Women’s All Pro Tour and the East Coast Tour as part of her buildup for the LPGA’s farm league. “But definitely, I can do better.”
She must since another over-par round may drop her out of the Sunday cast.
“The course actually isn’t difficult, playing just over 6,500 yards,” said del Rosario, who hopes to cash in on an 8:28 a.m. tee-start with Aussie Gabriella Ruffels, who also made a 74, and American Jessica Welch, who groped for a 76. “But it was windy and the greens are hard and fast.”
Kim, meanwhile, came armed to the teeth, draining five birdies for a solid 67 that put her in front by one of Gabby Lemieux of the US, India’s Nishta Madan and Swede Frida Kinhult, who all carded 68s, while Hong Kong’s Tiffany Chan and Weiwei Zhang of China matched 69s."
18,NLEX turn back Ginebra to clinch twice-to-beat edge in McDaniels' swan song,"Outgoing NLEX Road Warriors import KJ McDaniels sweetened his swan song with the team as they clinched the twice-to-beat advantage at the expense of defending champs Barangay Ginebra, 115-103, in the PBA Governors' Cup on Friday.
Set to leave the team due to ""personal reasons"", McDaniels gave one last great performance for the Road Warriors as he finished with a double-double of 26 points and 10 rebounds in the crucial victory.
RELATED STORIES
TNT returns from Gilas break with rout of Blackwater
McDaniels came up with the clutch basket to pad NLEX's lead to eight, 111-103, with less than two minutes left on the clock.
He will be replaced by Cameron Clark in NLEX's bid in the postseason.
Four other Road Warriors finished in twin digit scoring with Kevin Alas pacing the locals with 18 points.
Alas had a near triple-double as he also had eight assists, and 10 rebounds.
NLEX coach Yeng Guiao also had significant contributions from the bench, particularly from Kris Rosales and Justin Chua, who dropped 17 and 15 points, respectively.
Chua made his debut for the Road Warriors after being traded from the Phoenix Super LPG Fuel Masters late February.
The all-around offensive attack of the Road Warriors helped them overcome an earlier 15-point deficit in the first half of the game.
NLEX finishes 8-3 for the conference and is now assured of a Top 4 finish for a twice-to-beat advantage.
Meanwhile, the Gin Kings fall to 5-5 and their hopes for an edge in the quarterfinals for their title bid dwindled with only one game left on their schedule.
Justin Brownlee paced Ginebra with 36 points in the losing effort."
19,Aussie coach Stajcic re-signs to call shots for 2023 World Cup-bound Filipina booters,"Australian coach Alen Stajcic is officially on board for the Philippine women's national football team until the 2023 FIFA World Cup.
The Philippine Football Federation on Friday night announced that Stajcic has agreed to stay on program for the team until next year after his initial contract ended at the AFC Women's Asian Cup early February.
The deal was reached with the PFF last March 1 in Sydney.
Also staying on are assistant coach Nahuel Arrate and strength and conditioning coach Luca Tonetti.
The Aussie coach took the reins late last year ahead of the Women's Asian Cup in India where he steered the Philippines to its first-ever appearance at the FIFA Women's World Cup.
He also oversaw a Philippine squad that tallied their best result in the Women's Asian Cup, finishing as a semifinalist in India.
Stajcic, who formerly coached the Australian Matildas, will thus call the shots for the team in their upcoming competitions ahead of 2023 and in the World Cup itself.
The 48-year-old's first assignment after India in the 31st Southeast Asian Games set to unfurl in Hanoi by May this year.
Stajcic will look to continue to make history for the Filipina booters with a first-ever podium finish in the biennial tournament."
20,TNT returns from Gilas break with rout of Blackwater,"The TNT Tropang Giga showed little rust in their first game back from a week-long break with a convincing win over the hapless Blackwater Bossing, X106-93, in the PBA Governors' Cup at the Smart Araneta Coliseum on Friday.
Returning from a tour of Gilas duty, the Tropang Giga made light work of the Bossing and notched their third straight win to improve to 5-4.
The Philippine Cup champions leaned on a balanced offensive attack led by Mikey Williams and Aaron Fuller to send Blackwater to the brink of yet another winless conference and their 29th consecutive defeat.
Though it was not a total walk in the park for the TNT with the Bossing playing at pace with them in the first two quarters of the game.
The game was in a 29-all deadlock after a JVee Casio triple with 5:58 left in the second period.
But a quick 10-0 scoring burst for the Tropang Giga helped stave off their upset-seeking efforts.
The Bossing fought to keep their heads afloat in the second half but faltered against the more powerful TNT offense.
TNT led by as much as 20 points in the wire-to-wire victory.
Williams led TNT in the scoring column with 23 points while Fuller finished with a double-double of 16 points and 22 rebounds.
RR Pogoy, who played for Gilas in the recently concluded window of the FIBA World Cup Asian Qualifiers, chipped in with 16 markers.
Ryan Reyes also provided a spark off of the bench for TNT with 16 points.
Reinforcement Sean Glover paced the 0-10 Blackwater with 26 points, 15 boards, and nine assists.
Casio, meanwhile, picked up the slack for the locals with 21 points.
Blackwater has one game remaining to snap their dismal losing streak and finish the conference on a high note when they face the league-leading Magnolia Hotshots on Wednesday, March 9.
TNT, meanwhile, will play two more games next week to wrap up its elimination round matches.
The Tropang Giga will face the Terrafirma Dyip on Wednesday as well then the Northport Batang Pier on Friday, March 11."
21,Aussie coach Stajcic re-signs to call shots for 2023 World Cup-bound Filipina booters,"Australian coach Alen Stajcic is officially on board for the Philippine women's national football team until the 2023 FIFA World Cup.
The Philippine Football Federation on Friday night announced that Stajcic has agreed to stay on program for the team until next year after his initial contract ended at the AFC Women's Asian Cup early February.
The deal was reached with the PFF last March 1 in Sydney.
Also staying on are assistant coach Nahuel Arrate and strength and conditioning coach Luca Tonetti.
The Aussie coach took the reins late last year ahead of the Women's Asian Cup in India where he steered the Philippines to its first-ever appearance at the FIFA Women's World Cup.
He also oversaw a Philippine squad that tallied their best result in the Women's Asian Cup, finishing as a semifinalist in India.
Stajcic, who formerly coached the Australian Matildas, will thus call the shots for the team in their upcoming competitions ahead of 2023 and in the World Cup itself.
The 48-year-old's first assignment after India in the 31st Southeast Asian Games set to unfurl in Hanoi by May this year.
Stajcic will look to continue to make history for the Filipina booters with a first-ever podium finish in the biennial tournament."
22,San Sebastian Stags banking on veteran crew in NCAA 97,"not counting 2020-21 — at the helm of the Stags. 
In his first year at the Recoletos school in NCAA Season 92, the Stags finished seventh. The next year, they went to the Final Four where they lost a close match to San Beda. 
In Season 94, they dropped out of the top four to sixth spot. They returned to the Final Four in Season 95 where eventual champion Letran ousted them.
Macaraya has compiled a 36-40 record in NCAA play for San Sebastian with two Final Four appearances."
